date,site,type,counts
2021-09-16,site_4,cra,NA
2021-09-16,site_4,n2,82923.6292
2021-09-16,site_5,cra,273044923
2021-09-16,site_5,n2,40543.702333333335
2021-09-19,site_1,cra,21300180.700000003
2021-09-19,site_1,n2,18922.50821666667
2021-09-19,site_2,cra,553656198.5
2021-09-19,site_2,n2,11652.4906
2021-09-19,site_3,cra,NA
2021-09-19,site_3,n2,12158.313
2021-09-19,site_4,cra,NA
2021-09-19,site_4,n2,NA
2021-09-19,site_5,cra,115247783
2021-09-19,site_5,n2,87106.62375
2021-09-22,site_1,cra,1069281.5
2021-09-22,site_1,n2,198.446525
2021-09-22,site_2,cra,NA
2021-09-22,site_2,n2,14627.6
2021-09-22,site_3,cra,4697817
2021-09-22,site_3,n2,5371.568333333334
2021-09-22,site_4,cra,NA
2021-09-22,site_4,n2,12665.29
2021-09-22,site_5,cra,NA
2021-09-22,site_5,n2,35672.55
2021-09-27,site_1,cra,45539716
2021-09-27,site_1,n2,57756.54075
2021-09-27,site_2,cra,146828883.5
2021-09-27,site_2,n2,7597.435966666667
2021-09-27,site_3,cra,5314.7474
2021-09-27,site_3,n2,0.2708666666666667
2021-09-27,site_4,cra,547.6339
2021-09-27,site_4,n2,0.1071
2021-09-27,site_5,cra,547.6339
2021-09-27,site_5,n2,17638.81558
2021-09-29,site_1,cra,564412.9
2021-09-29,site_1,n2,232.76183333333333
2021-09-29,site_2,cra,47526151.5
2021-09-29,site_2,n2,24320.566666666666
2021-09-29,site_3,cra,NA
2021-09-29,site_3,n2,NA
2021-09-29,site_4,cra,271595.05
2021-09-29,site_4,n2,336.35176666666666
2021-09-29,site_5,cra,NA
2021-09-29,site_5,n2,16644.99
2021-10-04,site_1,cra,6138656.5
2021-10-04,site_1,n2,47614.98333333333
2021-10-04,site_2,cra,145978.9421
2021-10-04,site_2,n2,NA
2021-10-04,site_3,cra,748.6025
2021-10-04,site_3,n2,NA
2021-10-04,site_4,cra,708876.29955
2021-10-04,site_4,n2,NA
2021-10-04,site_5,cra,8583157.501
2021-10-04,site_5,n2,55122.38333333333
2021-10-06,site_1,cra,33112.385
2021-10-06,site_1,n2,NA
2021-10-06,site_2,cra,446892.9
2021-10-06,site_2,n2,2839.58
2021-10-06,site_3,cra,499598.85
2021-10-06,site_3,n2,4871.419833333333
2021-10-06,site_4,cra,2419422
2021-10-06,site_4,n2,27609.27
2021-10-06,site_5,cra,1061.4771
2021-10-06,site_5,n2,NA
2021-10-11,site_1,cra,1104138
2021-10-11,site_1,n2,722.4068
2021-10-11,site_2,cra,4786794.5
2021-10-11,site_2,n2,38326.924166666664
2021-10-11,site_3,cra,8002623.5
2021-10-11,site_3,n2,31098.74166666667
2021-10-11,site_4,cra,5215.6345
2021-10-11,site_4,n2,6455.274166666666
2021-10-11,site_5,cra,7276876.5
2021-10-11,site_5,n2,NA
2021-10-13,site_1,cra,2121.7277
2021-10-13,site_1,n2,52.900000000000006
2021-10-13,site_2,cra,200679.2845
2021-10-13,site_2,n2,2.6619200000000003
2021-10-13,site_3,cra,22375810.4
2021-10-13,site_3,n2,56169.13285
2021-10-13,site_4,cra,259079.7955
2021-10-13,site_4,n2,9.2539
2021-10-13,site_5,cra,177654.4975
2021-10-13,site_5,n2,30.2995
2021-10-18,site_1,cra,84908874.91
2021-10-18,site_1,n2,9851.2575
2021-10-18,site_2,cra,126131001.95
2021-10-18,site_2,n2,10115.9665
2021-10-18,site_3,cra,2122577.19
2021-10-18,site_3,n2,11724.056283333333
2021-10-18,site_4,cra,2337790.467
2021-10-18,site_4,n2,2056.2469
2021-10-18,site_5,cra,4645536.226
2021-10-18,site_5,n2,4192.719166666667
2021-10-20,site_1,cra,17323833.045
2021-10-20,site_1,n2,264596.6527166667
2021-10-20,site_2,cra,214419493.8
2021-10-20,site_2,n2,24874.951866666666
2021-10-20,site_3,cra,79119.33505
2021-10-20,site_3,n2,34.80393333333333
2021-10-20,site_4,cra,3321636.7275
2021-10-20,site_4,n2,1103.60065
2021-10-20,site_5,cra,29225734.05
2021-10-20,site_5,n2,17761.003783333334
